ds,yhat,yhat_lower,yhat_upper,model,y
2025-02-13,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,2.957777777777778
2025-02-14,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,3.0575
2025-02-23,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,5.023055555555556
2025-03-03,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,7.268888888888889
2025-03-24,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,3.466111111111111
2025-04-14,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,10.002222222222223
2025-05-02,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,6.566666666666666
2025-05-29,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,5.259722222222222
2025-07-03,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,1.7827777777777778
2025-08-16,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,3.5975
2025-09-06,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2025-09-27,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2025-10-18,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2025-11-08,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2025-11-29,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2025-12-20,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-01-10,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-01-31,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-02-21,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-03-14,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-04-04,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-04-25,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-05-16,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-06-06,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-06-27,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-07-18,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-08-08,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-08-29,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-09-19,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-10-10,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-10-31,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-11-21,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2026-12-12,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-01-02,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-01-23,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-02-13,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-03-06,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-03-27,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-04-17,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
2027-05-08,4.898222222222222,4.898222222222222,4.898222222222222,baseline-mean,
