activity_id,operator_id,product_id,step_id,run_id,line_id,start_time,end_time,activity_type
ACT-PRD-1-RUN-000001-PRD-1-STEP-1-0-3700,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000001,LINE-A,2024-03-09T11:48:50Z,2024-03-09T14:21:15Z,rework
ACT-PRD-1-RUN-000001-PRD-1-STEP-1-1-7190,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000001,LINE-A,2024-03-09T14:21:15Z,2024-03-09T16:53:40Z,direct
ACT-PRD-1-RUN-000001-PRD-1-STEP-2-0-2914,OP-2,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000001,LINE-B,2024-03-10T17:43:25Z,2024-03-10T18:00:00Z,direct
ACT-PRD-1-RUN-000001-PRD-1-STEP-3-0-8826,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000001,LINE-A,2024-03-12T12:54:51Z,2024-03-12T18:00:00Z,direct
ACT-PRD-1-RUN-000001-PRD-1-STEP-4-0-4018,OP-3,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000001,LINE-B,2024-03-13T09:01:05Z,2024-03-13T12:20:03Z,indirect
ACT-PRD-1-RUN-000002-PRD-1-STEP-1-0-6435,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000002,LINE-B,2024-06-25T13:43:42Z,2024-06-25T15:21:12Z,direct
ACT-PRD-1-RUN-000002-PRD-1-STEP-1-1-8202,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000002,LINE-B,2024-06-25T15:21:12Z,2024-06-25T16:58:43Z,direct
ACT-PRD-1-RUN-000002-PRD-1-STEP-2-0-8870,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000002,LINE-A,2024-06-27T16:21:11Z,2024-06-27T17:10:35Z,direct
ACT-PRD-1-RUN-000002-PRD-1-STEP-2-1-9866,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000002,LINE-A,2024-06-27T17:10:35Z,2024-06-27T18:00:00Z,indirect
ACT-PRD-1-RUN-000002-PRD-1-STEP-3-0-4650,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000002,LINE-B,2024-06-28T15:47:57Z,2024-06-28T18:00:00Z,setup
ACT-PRD-1-RUN-000002-PRD-1-STEP-4-0-4797,OP-3,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000002,LINE-A,2024-06-29T10:31:05Z,2024-06-29T12:44:13Z,direct
ACT-PRD-1-RUN-000002-PRD-1-STEP-4-1-1100,OP-1,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000002,LINE-A,2024-06-29T12:44:13Z,2024-06-29T14:57:22Z,direct
ACT-PRD-1-RUN-000003-PRD-1-STEP-1-0-5709,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000003,LINE-B,2024-02-28T15:41:06Z,2024-02-28T18:00:00Z,direct
ACT-PRD-1-RUN-000003-PRD-1-STEP-2-0-3723,OP-2,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000003,LINE-A,2024-03-01T16:31:14Z,2024-03-01T18:00:00Z,direct
ACT-PRD-1-RUN-000003-PRD-1-STEP-3-0-1054,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000003,LINE-B,2024-03-01T17:59:00Z,2024-03-01T18:00:00Z,setup
ACT-PRD-1-RUN-000003-PRD-1-STEP-4-0-3092,OP-1,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000003,LINE-A,2024-03-01T17:59:00Z,2024-03-01T18:00:00Z,setup
ACT-PRD-1-RUN-000004-PRD-1-STEP-1-0-8738,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000004,LINE-B,2025-02-18T17:14:31Z,2025-02-18T17:37:15Z,indirect
ACT-PRD-1-RUN-000004-PRD-1-STEP-1-1-8590,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000004,LINE-B,2025-02-18T17:37:15Z,2025-02-18T18:00:00Z,direct
ACT-PRD-1-RUN-000004-PRD-1-STEP-2-0-9782,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000004,LINE-A,2025-02-19T10:46:56Z,2025-02-19T15:39:06Z,direct
ACT-PRD-1-RUN-000004-PRD-1-STEP-3-0-6259,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000004,LINE-B,2025-02-20T16:53:41Z,2025-02-20T17:26:50Z,setup
ACT-PRD-1-RUN-000004-PRD-1-STEP-3-1-6320,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000004,LINE-B,2025-02-20T17:26:50Z,2025-02-20T18:00:00Z,setup
ACT-PRD-1-RUN-000004-PRD-1-STEP-4-0-3790,OP-1,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000004,LINE-A,2025-02-21T12:21:32Z,2025-02-21T14:59:26Z,direct
ACT-PRD-1-RUN-000005-PRD-1-STEP-1-0-3292,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000005,LINE-A,2025-02-03T17:41:51Z,2025-02-03T18:00:00Z,setup
ACT-PRD-1-RUN-000005-PRD-1-STEP-2-0-2894,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000005,LINE-B,2025-02-05T11:00:21Z,2025-02-05T13:10:06Z,direct
ACT-PRD-1-RUN-000005-PRD-1-STEP-2-1-9015,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000005,LINE-B,2025-02-05T13:10:06Z,2025-02-05T15:19:52Z,indirect
ACT-PRD-1-RUN-000005-PRD-1-STEP-3-0-8350,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000005,LINE-A,2025-02-06T17:49:03Z,2025-02-06T18:00:00Z,direct
ACT-PRD-1-RUN-000005-PRD-1-STEP-4-0-9668,OP-3,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000005,LINE-B,2025-02-07T15:15:48Z,2025-02-07T18:00:00Z,direct
ACT-PRD-1-RUN-000006-PRD-1-STEP-1-0-2519,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000006,LINE-B,2025-03-07T12:30:46Z,2025-03-07T14:09:43Z,direct
ACT-PRD-1-RUN-000006-PRD-1-STEP-1-1-6034,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000006,LINE-B,2025-03-07T14:09:43Z,2025-03-07T15:48:41Z,direct
ACT-PRD-1-RUN-000006-PRD-1-STEP-2-0-4519,OP-4,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000006,LINE-A,2025-03-07T15:50:44Z,2025-03-07T18:00:00Z,direct
ACT-PRD-1-RUN-000006-PRD-1-STEP-3-0-5875,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000006,LINE-B,2025-03-07T17:59:00Z,2025-03-07T18:00:00Z,direct
ACT-PRD-1-RUN-000006-PRD-1-STEP-4-0-2837,OP-1,PRD-1,PRD-1-STEP-4,PRD-1-RUN-000006,LINE-B,2025-03-07T17:59:00Z,2025-03-07T18:00:00Z,direct
ACT-PRD-1-RUN-000007-PRD-1-STEP-1-0-6839,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000007,LINE-B,2025-03-30T16:36:16Z,2025-03-30T17:18:08Z,rework
ACT-PRD-1-RUN-000007-PRD-1-STEP-1-1-4267,OP-1,PRD-1,PRD-1-STEP-1,PRD-1-RUN-000007,LINE-B,2025-03-30T17:18:08Z,2025-03-30T18:00:00Z,direct
ACT-PRD-1-RUN-000007-PRD-1-STEP-2-0-1600,OP-2,PRD-1,PRD-1-STEP-2,PRD-1-RUN-000007,LINE-B,2025-04-01T11:27:58Z,2025-04-01T14:56:15Z,rework
ACT-PRD-1-RUN-000007-PRD-1-STEP-3-0-4641,OP-2,PRD-1,PRD-1-STEP-3,PRD-1-RUN-000007,LINE-A,2025-04-02T15:42:39Z,2025-04-02T18:00:00Z,direct
