timestamp,machine_id,metric_type,metric_value
2023-09-25T15:21:55Z,MX-103,energy_consumption,23.07
2023-09-25T01:14:45Z,MX-104,energy_consumption,14.32
2023-09-26T06:37:57Z,MX-101,temperature,67.12
2023-09-27T05:53:38Z,MX-104,throughput,11.05
2023-09-28T17:36:58Z,MX-103,temperature,66.58
2023-09-28T21:00:54Z,MX-104,throughput,99.34
2023-09-29T22:37:16Z,MX-103,energy_consumption,49.59
2023-09-29T10:10:09Z,MX-105,throughput,40.35
2023-09-30T09:17:40Z,MX-103,throughput,79.48
2023-10-01T03:30:48Z,MX-103,energy_consumption,33.66
2023-10-01T13:18:16Z,MX-104,energy_consumption,12.29
2023-10-02T04:35:44Z,MX-101,temperature,97.76
2023-10-02T04:02:46Z,MX-101,energy_consumption,74.14
2023-10-02T04:35:54Z,MX-103,throughput,50.73
2023-10-03T03:01:14Z,MX-105,temperature,45.78
2023-10-03T18:36:05Z,MX-102,temperature,85.6
2023-10-03T08:04:39Z,MX-101,temperature,76.01
2023-10-04T19:08:08Z,MX-105,temperature,60.66
2023-10-04T19:19:01Z,MX-105,temperature,82.02
2023-10-05T19:38:27Z,MX-102,energy_consumption,95.24
2023-10-05T19:19:42Z,MX-102,throughput,24.29
2023-10-06T06:01:50Z,MX-105,temperature,85.89
2023-10-06T05:32:09Z,MX-105,energy_consumption,48.16
2023-10-06T07:21:42Z,MX-103,temperature,96.32
2023-10-07T10:47:42Z,MX-104,energy_consumption,97.48
2023-10-07T17:21:01Z,MX-104,throughput,22.25
2023-10-08T00:00:46Z,MX-101,throughput,73.75
2023-10-08T11:20:42Z,MX-102,energy_consumption,65.18
2023-10-09T02:09:22Z,MX-104,temperature,22.94
2023-10-10T08:49:40Z,MX-104,temperature,68.15
2023-10-11T21:31:58Z,MX-102,temperature,85.09
2023-10-11T02:34:04Z,MX-102,throughput,22.64
2023-10-12T04:29:43Z,MX-105,energy_consumption,23.67
2023-10-12T16:08:34Z,MX-102,energy_consumption,34.79
2023-10-13T00:23:31Z,MX-101,energy_consumption,38.0
2023-10-13T03:44:09Z,MX-105,throughput,30.9
2023-10-14T10:52:47Z,MX-101,energy_consumption,76.86
2023-10-14T16:32:34Z,MX-102,temperature,89.22
2023-10-15T12:25:44Z,MX-103,temperature,44.34
2023-10-15T09:18:02Z,MX-101,energy_consumption,51.99
2023-10-15T21:17:54Z,MX-102,energy_consumption,72.23
2023-10-16T10:35:55Z,MX-102,energy_consumption,19.27
2023-10-16T21:57:57Z,MX-105,throughput,31.72
2023-10-17T18:00:19Z,MX-104,throughput,15.1
2023-10-17T03:49:47Z,MX-103,energy_consumption,75.92
2023-10-17T09:09:46Z,MX-105,throughput,47.77
2023-10-18T12:59:08Z,MX-101,temperature,19.1
2023-10-18T17:40:41Z,MX-102,energy_consumption,54.55
2023-10-19T15:47:34Z,MX-103,temperature,99.76
2023-10-19T17:45:45Z,MX-105,energy_consumption,85.37
2023-10-19T13:40:59Z,MX-105,energy_consumption,88.34
2023-10-20T13:55:46Z,MX-101,energy_consumption,19.7
2023-10-20T23:23:57Z,MX-101,energy_consumption,18.54
2023-10-20T08:41:15Z,MX-103,energy_consumption,70.53
2023-10-21T15:21:30Z,MX-104,energy_consumption,76.99
2023-10-21T12:38:41Z,MX-104,throughput,61.6
2023-10-21T19:01:59Z,MX-101,throughput,83.18
2023-10-22T15:43:16Z,MX-101,temperature,61.02
2023-10-22T00:52:44Z,MX-103,temperature,36.3
2023-10-22T15:00:20Z,MX-101,energy_consumption,51.1
2023-10-23T13:03:20Z,MX-103,throughput,97.62
2023-10-23T09:03:17Z,MX-103,throughput,80.53
2023-10-24T16:40:57Z,MX-103,temperature,28.84
2023-10-24T19:55:32Z,MX-103,energy_consumption,46.12
2023-10-25T06:15:51Z,MX-104,temperature,40.04
2023-10-25T22:26:33Z,MX-105,energy_consumption,82.46
2023-10-26T11:31:28Z,MX-103,temperature,92.28
2023-10-27T23:16:54Z,MX-104,throughput,65.96
2023-10-28T06:46:44Z,MX-104,temperature,33.82
2023-10-28T17:40:27Z,MX-103,throughput,82.53
2023-10-28T13:09:37Z,MX-102,temperature,39.05
2023-10-29T06:54:36Z,MX-105,throughput,91.79
2023-10-30T23:23:08Z,MX-105,throughput,78.11
2023-10-30T19:35:50Z,MX-102,throughput,65.66
2023-10-30T02:45:52Z,MX-102,temperature,18.15
2023-10-31T14:43:56Z,MX-103,temperature,74.43
2023-10-31T19:23:58Z,MX-103,throughput,21.97
2023-10-31T14:01:34Z,MX-101,energy_consumption,83.31
2023-11-01T22:20:02Z,MX-105,temperature,39.15
2023-11-01T08:11:08Z,MX-104,temperature,32.13
2023-11-02T09:58:05Z,MX-101,throughput,30.2
2023-11-03T07:58:21Z,MX-102,temperature,49.63
2023-11-03T07:51:47Z,MX-102,temperature,36.71
2023-11-03T00:45:22Z,MX-105,throughput,85.41
2023-11-04T20:15:18Z,MX-105,energy_consumption,27.3
2023-11-04T06:46:26Z,MX-105,energy_consumption,45.97
2023-11-05T14:05:38Z,MX-103,energy_consumption,81.71
2023-11-05T13:15:06Z,MX-103,throughput,43.32
2023-11-05T08:32:43Z,MX-103,energy_consumption,42.14
2023-11-06T04:53:48Z,MX-103,energy_consumption,32.22
2023-11-06T19:35:52Z,MX-105,temperature,18.7
2023-11-06T18:28:32Z,MX-104,energy_consumption,38.21
2023-11-07T08:17:41Z,MX-103,energy_consumption,73.19
2023-11-07T20:10:23Z,MX-102,throughput,34.22
2023-11-07T01:56:13Z,MX-104,energy_consumption,49.41
2023-11-08T15:52:51Z,MX-101,temperature,11.99
2023-11-08T16:19:41Z,MX-105,energy_consumption,15.18
2023-11-08T12:39:21Z,MX-104,energy_consumption,23.31
2023-11-09T12:54:13Z,MX-101,energy_consumption,34.85
2023-11-09T09:10:31Z,MX-101,energy_consumption,63.8
2023-11-09T15:41:09Z,MX-102,throughput,29.37
2023-11-10T11:16:49Z,MX-105,energy_consumption,70.72
2023-11-10T12:02:03Z,MX-102,energy_consumption,81.86
2023-11-11T14:49:24Z,MX-102,energy_consumption,98.22
