product_id,step_id,step_name,assigned_machine,assigned_operators,estimated_time,dependency_step_id,requires_machine
PRD-1,PRD-1-STEP-1,Unpack,,OP-2,1,,False
PRD-1,PRD-1-STEP-2,Assemble,MX-104,OP-4,2,PRD-1-STEP-1,True
PRD-1,PRD-1-STEP-3,Test,MX-101,"OP-4,OP-1",1,PRD-1-STEP-2,True
PRD-1,PRD-1-STEP-4,Repack,,OP-2,3,PRD-1-STEP-3,False
PRD-2,PRD-2-STEP-1,Unpack,,OP-3,7,,False
PRD-2,PRD-2-STEP-2,Assemble,MX-105,"OP-3,OP-2",1,PRD-2-STEP-1,True
PRD-2,PRD-2-STEP-3,Test,MX-103,"OP-4,OP-1",6,PRD-2-STEP-2,True
PRD-2,PRD-2-STEP-4,Repack,,OP-4,7,PRD-2-STEP-3,False
PRD-3,PRD-3-STEP-1,Unpack,,"OP-4,OP-2",1,,False
PRD-3,PRD-3-STEP-2,Assemble,MX-102,OP-4,5,PRD-3-STEP-1,True
PRD-3,PRD-3-STEP-3,Test,MX-102,"OP-3,OP-4",7,PRD-3-STEP-2,True
PRD-3,PRD-3-STEP-4,Repack,,OP-4,7,PRD-3-STEP-3,False
